smiles,smi_fragments,selfies,selfies_fragments,CT_TOX
Cc1c(c2c3c4c1O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]([C@H](/C=C/C=C(\C(=O)NC(=C5C3=NC6([NH2+]5)CC[NH+](CC6)CC(C)C)C2=O)/C)C)O)C)O)C)OC(=O)C)C)OC)C)[O-],"['CC(C)C[3C]', 'CO[2C]', 'C[C@@H](C=[5C])[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H]([3C])[C@H](C)[C@@H]([3C])/C=C/O[2C]', 'Cc1c([O-])c2c(c3c1O[C@@](C)([3C])C3=O)C1=NC3(CC[NH+]([4C])CC3)[NH2+]C1=C([11C])C2=O', '[2C]O[2C]', '[5C]=CC=[5C]', 'CC([1C])=O', '[8C]N[8C]', 'CC(=[5C])C([1C])=O']",[C][C][=C][Branch2][=Branch2][Branch1][C][=C][C][=C][Ring1][=Branch1][O][C@@][Branch1][Branch1][C][Ring1][Branch1][=O][Branch2][Branch2][Ring1][O][/C][=C][/C@@H1][Branch2][#Branch1][#Branch2][C@H1][Branch2][#Branch1][Branch1][C@H1][Branch2][=Branch1][O][C@@H1][Branch2][=Branch1][=Branch1][C@@H1][Branch2][Branch1][P][C@@H1][Branch2][Branch1][N][C@H1][Branch2][Branch1][#Branch1][C@H1][Branch2][Branch1][C][/C][=C][/C][=C][Branch2][Ring2][#Branch2][\C][=Branch1][C][=O][N][C][=Branch2][Ring1][N][=C][C][Ring2][Ring1][N][=N][C][Branch1][Ring2][NH2+1][Ring1][Branch1][C][C][NH1+1][Branch1][Branch1][C][C][Ring1][#Branch1][C][C][Branch1][C][C][C][C][Ring2][Ring2][#Branch2][=O][/C][C][O][C][O][C][O][C][=Branch1][C][=O][C][C][O][C][C][O-1],"['[C][C][Branch1][C][C][C][3C]', '[C][O][2C]', '[C][C@@H1][Branch1][Ring1][C][=5C][C@H1][Branch1][C][O][C@@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][C][C@H1][Branch1][C][3C][C@H1][Branch1][C][C][C@@H1][Branch1][C][3C][/C][=C][/O][2C]', '[C][C][=C][Branch1][C][O-1][C][=C][Branch1][P][C][=C][Ring1][#Branch1][O][C@@][Branch1][C][C][Branch1][C][3C][C][Ring1][#Branch1][=O][C][=N][C][Branch1][O][C][C][NH1+1][Branch1][C][4C][C][C][Ring1][#Branch1][NH2+1][C][Ring1][O][=C][Branch1][C][11C][C][Ring2][Ring1][Branch2][=O]', '[2C][O][2C]', '[5C][=C][C][=5C]', '[C][C][Branch1][C][1C][=O]', '[8C][N][8C]', '[C][C][=Branch1][C][=5C][C][Branch1][C][1C][=O]']",0
Cc1c(c2cc(ccc2n1C(=O)c3ccc(cc3)Cl)OC)CC(=O)[O-],"['Cc1c([14C])c2cc([14C])ccc2n1C([1C])=O', '[14C]c1ccc(Cl)cc1', 'CO[2C]', '[6C]CC(=O)[O-]']",[C][C][=C][Branch2][Ring1][S][C][=C][C][=Branch2][Ring1][Branch2][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][O][C][C][C][=Branch1][C][=O][O-1],"['[C][C][=C][Branch1][C][14C][C][=C][C][Branch1][C][14C][=C][C][=C][Ring1][#Branch1][N][Ring1][O][C][Branch1][C][1C][=O]', '[14C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1]', '[C][O][2C]', '[6C][C][C][=Branch1][C][=O][O-1]']",0
CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO,"['[5C]=CC(=O)NO', '[3C]C[6C]', '[3C]CC[6C]', 'Cc1[nH]c2ccccc2c1[14C]', '[4C]N[4C]', '[5C]=Cc1ccc([14C])cc1']",[C][C][=C][Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][C][N][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][N][O],"['[5C][=C][C][=Branch1][C][=O][N][O]', '[3C][C][6C]', '[3C][C][C][6C]', '[C][C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][=Branch2][14C]', '[4C][N][4C]', '[5C][=C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1]']",1
Cc1c(cc(c(=O)[nH]1)C#N)c2ccncc2,"['Cc1[nH]c(=O)c(C#N)cc1[14C]', '[14C]c1ccncc1']",[C][C][=C][Branch1][=C][C][=C][Branch1][Branch2][C][=Branch1][C][=O][NH1][Ring1][#Branch1][C][#N][C][=C][C][=N][C][=C][Ring1][=Branch1],"['[C][C][NH1][C][=Branch1][C][=O][C][Branch1][Ring1][C][#N][=C][C][=Ring1][=Branch2][14C]', '[14C][C][=C][C][=N][C][=C][Ring1][=Branch1]']",0
CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,"['[14C]c1ccc([14C])c([14C])c1', 'Cc1ccc([14C])cc1C#Cc1cnc2cccnn12', 'CN1CCN([4C])CC1', '[3C]C[6C]', '[6C]C(F)(F)F', '[1C]C([1C])=O', '[4C]N[4C]']",[C][C][=C][Branch2][Ring2][#C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=Branch2][Ring1][Ring2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][Branch1][C][F][Branch1][C][F][F][C][#C][C][=C][N][=C][N][Ring1][Branch1][N][=C][C][=C][Ring1][=Branch1],"['[14C][C][=C][C][=C][Branch1][C][14C][C][Branch1][C][14C][=C][Ring1][Branch2]', '[C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1][C][#C][C][=C][N][=C][C][=C][C][=N][N][Ring1][=Branch2][Ring1][=Branch1]', '[C][N][C][C][N][Branch1][C][4C][C][C][Ring1][#Branch1]', '[3C][C][6C]', '[6C][C][Branch1][C][F][Branch1][C][F][F]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]']",1
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,"['[12C]c1ccnc([12C])n1', 'Cc1cn([7C])cn1', '[6C]C(F)(F)F', '[14C]c1cccnc1', 'Cc1ccc([14C])cc1[14C]', '[1C]C([1C])=O', '[4C]N[4C]', '[14C]c1cc([14C])cc([14C])c1']",[C][C][=C][Branch2][Ring2][=N][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=Branch2][Ring1][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=C][Branch1][Branch1][N][=C][Ring1][Branch1][C][C][Branch1][C][F][Branch1][C][F][F][N][C][=N][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][N][=C][C][=C][Ring1][=Branch1],"['[12C][C][=C][C][=N][C][Branch1][C][12C][=N][Ring1][#Branch1]', '[C][C][=C][N][Branch1][C][7C][C][=N][Ring1][=Branch1]', '[6C][C][Branch1][C][F][Branch1][C][F][F]', '[14C][C][=C][C][=C][N][=C][Ring1][=Branch1]', '[C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1][14C]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]', '[14C][C][=C][C][Branch1][C][14C][=C][C][Branch1][C][14C][=C][Ring1][Branch2]']",1
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,"['[12C]c1ccnc([12C])n1', 'CN1CCN([4C])CC1', '[3C]C[6C]', '[14C]c1cccnc1', 'Cc1ccc([14C])cc1[14C]', '[1C]C([1C])=O', '[4C]N[4C]', '[14C]c1ccc([14C])cc1']",[C][C][=C][Branch2][Ring2][Ring2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][N][C][=N][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][N][=C][C][=C][Ring1][=Branch1],"['[12C][C][=C][C][=N][C][Branch1][C][12C][=N][Ring1][#Branch1]', '[C][N][C][C][N][Branch1][C][4C][C][C][Ring1][#Branch1]', '[3C][C][6C]', '[14C][C][=C][C][=C][N][=C][Ring1][=Branch1]', '[C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1][14C]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]', '[14C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1]']",1
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,"['[12C]c1ccnc([12C])n1', 'CS(=O)(=O)O', 'CN1CCN([4C])CC1', '[3C]C[6C]', '[14C]c1cccnc1', 'Cc1ccc([14C])cc1[14C]', '[1C]C([1C])=O', '[4C]N[4C]', '[14C]c1ccc([14C])cc1']",[C][C][=C][Branch2][Ring2][Ring2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][N][C][=N][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][N][=C][C][=C][Ring1][=Branch1].[C][S][=Branch1][C][=O][=Branch1][C][=O][O],"['[12C][C][=C][C][=N][C][Branch1][C][12C][=N][Ring1][#Branch1]', '[C][S][=Branch1][C][=O][=Branch1][C][=O][O]', '[C][N][C][C][N][Branch1][C][4C][C][C][Ring1][#Branch1]', '[3C][C][6C]', '[14C][C][=C][C][=C][N][=C][Ring1][=Branch1]', '[C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1][14C]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]', '[14C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1]']",1
Cc1c(cc2cc3c(c(c2c1O)[O-])C(=O)[C@H]([C@@H](C3)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]4C[C@H]([C@@H]([C@H](O4)C)O)O[C@H]5C[C@H]([C@H]([C@H](O5)C)O)O[C@H]6C[C@]([C@@H]([C@H](O6)C)O)(C)O)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)O)O[C@H]8C[C@H]([C@@H]([C@H](O8)C)O)O,"['CO[2C]', 'C[C@@H](O)[C@H](O)C(=O)[C@@H]([3C])[6C]', 'Cc1c([14C])cc2cc3c(c([O-])c2c1O)C(=O)[C@@H]([3C])[C@H]([13C])C3', 'C[C@H]1O[C@@H]([3C])C[C@@H](O)[C@@H]1O', '[2C]O[2C]', 'C[C@H]1O[C@@H]([3C])C[C@@H]([3C])[C@@H]1O', 'C[C@H]1O[C@@H]([3C])C[C@@H]([3C])[C@H]1O', 'C[C@H]1O[C@@H]([3C])C[C@](C)(O)[C@@H]1O']",[C][C][=C][Branch2][Branch2][#Branch2][C][=C][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][Ring1][=Branch1][=C][Ring1][#Branch2][O][O-1][C][=Branch1][C][=O][C@H1][Branch2][Ring1][=Branch2][C@@H1][Branch1][Ring2][C][Ring1][N][C@@H1][Branch1][=C][C][=Branch1][C][=O][C@H1][Branch1][=Branch1][C@@H1][Branch1][C][C][O][O][O][C][O][C@H1][C][C@H1][Branch1][N][C@@H1][Branch1][Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][C@H1][C][C@H1][Branch1][N][C@H1][Branch1][Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][C@H1][C][C@][Branch1][N][C@@H1][Branch1][Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][Branch1][C][C][O][O][C@H1][C][C@H1][Branch1][N][C@@H1][Branch1][Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][C@H1][C][C@H1][Branch1][N][C@@H1][Branch1][Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O],"['[C][O][2C]', '[C][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C][=Branch1][C][=O][C@@H1][Branch1][C][3C][6C]', '[C][C][=C][Branch1][C][14C][C][=C][C][=C][C][=Branch1][N][=C][Branch1][C][O-1][C][Ring1][#Branch1][=C][Ring1][N][O][C][=Branch1][C][=O][C@@H1][Branch1][C][3C][C@H1][Branch1][C][13C][C][Ring1][=C]', '[C][C@H1][O][C@@H1][Branch1][C][3C][C][C@@H1][Branch1][C][O][C@@H1][Ring1][Branch2][O]', '[2C][O][2C]', '[C][C@H1][O][C@@H1][Branch1][C][3C][C][C@@H1][Branch1][C][3C][C@@H1][Ring1][Branch2][O]', '[C][C@H1][O][C@@H1][Branch1][C][3C][C][C@@H1][Branch1][C][3C][C@H1][Ring1][Branch2][O]', '[C][C@H1][O][C@@H1][Branch1][C][3C][C][C@][Branch1][C][C][Branch1][C][O][C@@H1][Ring1][=Branch2][O]']",0
Cc1c(ccc(c1)c2cc(c(cc2)N/N=C\3/C(=O)c4c(cc(cc4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])N)C)N/N=C\5/C(=O)c6c(cc(cc6C=C5S(=O)(=O)[O-])S(=O)(=O)[O-])N,['Cc1cc([14C])ccc1N/N=C1/C(=O)c2c(N)cc(S(=O)(=O)[O-])cc2C=C1S(=O)(=O)[O-]'],[C][C][=C][Branch2][Branch1][S][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch2][Ring2][P][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][/N][=C][/C][=Branch1][C][=O][C][=C][Branch2][Ring1][=N][C][=C][Branch1][P][C][=C][Ring1][=Branch1][C][=C][\-Ring1][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1][S][=Branch1][C][=O][=Branch1][C][=O][O-1][N][C][N][/N][=C][/C][=Branch1][C][=O][C][=C][Branch2][Ring1][=N][C][=C][Branch1][P][C][=C][Ring1][=Branch1][C][=C][\-Ring1][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1][S][=Branch1][C][=O][=Branch1][C][=O][O-1][N],['[C][C][=C][C][Branch1][C][14C][=C][C][=C][Ring1][#Branch1][N][/N][=C][/C][=Branch1][C][=O][C][=C][Branch1][C][N][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][C][=C][Ring1][O][C][=C][Ring1][S][S][=Branch1][C][=O][=Branch1][C][=O][O-1]'],0
Cc1c(ccc2c1c(nc(n2)N)N)CNc3cc(c(c(c3)OC)OC)OC,"['Cc1c([14C])ccc2nc(N)nc(N)c12', 'CO[2C]', '[14C]c1cc([14C])c([14C])c([14C])c1', '[3C]C[6C]', '[4C]N[4C]']",[C][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][N][C][N][C][=C][C][=Branch1][=C][=C][Branch1][=Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][C][O][C],"['[C][C][=C][Branch1][C][14C][C][=C][C][=N][C][Branch1][C][N][=N][C][Branch1][C][N][=C][Ring1][=N][Ring1][Branch2]', '[C][O][2C]', '[14C][C][=C][C][Branch1][C][14C][=C][Branch1][C][14C][C][Branch1][C][14C][=C][Ring1][=Branch2]', '[3C][C][6C]', '[4C][N][4C]']",0
Cc1c(ccc2c1oc(=O)c(c2[O-])NC(=O)c3ccc(c(c3)CC=C(C)C)O)O[C@H]4[C@@H]([C@@H]([C@H](C(O4)(C)C)OC)OC(=O)N)O,"['CC1(C)O[C@@H]([3C])[C@H](O)[C@H]([3C])[C@H]1[3C]', '[14C]c1ccc(O)c([14C])c1', 'CO[2C]', 'Cc1c([14C])ccc2c([O-])c([14C])c(=O)oc12', '[5C]=CC[6C]', 'CC(C)=[5C]', '[2C]O[2C]', '[1C]C([1C])=O', '[4C]N[4C]', '[1C]C(N)=O']",[C][C][=C][Branch2][Ring2][N][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=Branch1][Branch1][=C][Ring1][#Branch1][O-1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=C][Branch1][C][C][C][O][O][C@H1][C@@H1][Branch2][Ring1][=Branch2][C@@H1][Branch1][S][C@H1][Branch1][O][C][Branch1][Ring2][O][Ring1][=Branch1][Branch1][C][C][C][O][C][O][C][=Branch1][C][=O][N][O],"['[C][C][Branch1][C][C][O][C@@H1][Branch1][C][3C][C@H1][Branch1][C][O][C@H1][Branch1][C][3C][C@H1][Ring1][#Branch2][3C]', '[14C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][14C][=C][Ring1][Branch2]', '[C][O][2C]', '[C][C][=C][Branch1][C][14C][C][=C][C][C][Branch1][C][O-1][=C][Branch1][C][14C][C][=Branch1][C][=O][O][C][Ring1][=C][=Ring1][=Branch2]', '[5C][=C][C][6C]', '[C][C][Branch1][C][C][=5C]', '[2C][O][2C]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]', '[1C][C][Branch1][C][N][=O]']",0
Cc1c(cccc1O)C(=O)N[C@@H](CSc2ccccc2)[C@@H](C[NH+]3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,"['[14C]c1ccccc1', '[9C]S[9C]', '[3C]C[C@H]([3C])[C@H](O)C[3C]', '[1C]C([1C])=O', '[4C]N[4C]', 'CC(C)(C)[3C]', 'Cc1c([14C])cccc1O', '[4C][NH+]1C[C@H]2CCCC[C@H]2C[C@@H]1[11C]']",[C][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][N][C@@H1][Branch1][O][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch2][Ring1][=N][C][NH1+1][C][C@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][C@H1][Ring1][#Branch2][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][O],"['[14C][C][=C][C][=C][C][=C][Ring1][=Branch1]', '[9C][S][9C]', '[3C][C][C@H1][Branch1][C][3C][C@H1][Branch1][C][O][C][3C]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]', '[C][C][Branch1][C][C][Branch1][C][C][3C]', '[C][C][=C][Branch1][C][14C][C][=C][C][=C][Ring1][#Branch1][O]', '[4C][NH1+1][C][C@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][C@@H1][Ring1][#Branch2][11C]']",0
Cc1c(ccnc1C[S@@](=O)c2[nH]c3ccccc3n2)OCC(F)(F)F,"['[2C]O[2C]', '[6C]C[S@@](=O)c1nc2ccccc2[nH]1', 'Cc1c([14C])ccnc1[12C]', '[3C]CC(F)(F)F']",[C][C][=C][Branch2][Ring1][=Branch2][C][=C][N][=C][Ring1][=Branch1][C][S@@][=Branch1][C][=O][C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2][O][C][C][Branch1][C][F][Branch1][C][F][F],"['[2C][O][2C]', '[6C][C][S@@][=Branch1][C][=O][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2]', '[C][C][=C][Branch1][C][14C][C][=C][N][=C][Ring1][#Branch1][12C]', '[3C][C][C][Branch1][C][F][Branch1][C][F][F]']",0
Cc1c(ccnc1CS(=O)c2[nH]c3ccccc3n2)OCC(F)(F)F,"['[2C]O[2C]', '[3C]CC(F)(F)F', 'Cc1c([14C])ccnc1[12C]', '[6C]CS(=O)c1nc2ccccc2[nH]1']",[C][C][=C][Branch2][Ring1][=Branch2][C][=C][N][=C][Ring1][=Branch1][C][S][=Branch1][C][=O][C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2][O][C][C][Branch1][C][F][Branch1][C][F][F],"['[2C][O][2C]', '[3C][C][C][Branch1][C][F][Branch1][C][F][F]', '[C][C][=C][Branch1][C][14C][C][=C][N][=C][Ring1][#Branch1][12C]', '[6C][C][S][=Branch1][C][=O][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2]']",0
Cc1c(ccnc1CS(=O)c2[nH]c3ccccc3n2)OCCCOC,"['CO[2C]', 'Cc1c([14C])ccnc1[12C]', '[6C]CS(=O)c1nc2ccccc2[nH]1', '[2C]O[2C]', '[3C]CCC[3C]']",[C][C][=C][Branch2][Ring1][=Branch2][C][=C][N][=C][Ring1][=Branch1][C][S][=Branch1][C][=O][C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2][O][C][C][C][O][C],"['[C][O][2C]', '[C][C][=C][Branch1][C][14C][C][=C][N][=C][Ring1][#Branch1][12C]', '[6C][C][S][=Branch1][C][=O][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2]', '[2C][O][2C]', '[3C][C][C][C][3C]']",0
Cc1c(cno1)C(=O)Nc2ccc(cc2)C(F)(F)F,"['[6C]C(F)(F)F', '[1C]C([1C])=O', '[4C]N[4C]', 'Cc1oncc1[14C]', '[14C]c1ccc([14C])cc1']",[C][C][=C][Branch1][=Branch1][C][=N][O][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F],"['[6C][C][Branch1][C][F][Branch1][C][F][F]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]', '[C][C][O][N][=C][C][=Ring1][Branch1][14C]', '[14C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1]']",0
CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)[NH3+])SC1)C(=O)[O-],"['[1C]C(=O)[C@H]([NH3+])C1=CCC=CC1', 'CC1=C(C(=O)[O-])N2C(=O)[C@@H]([3C])[C@H]2SC1', '[4C]N[4C]']",[C][C][=C][Branch2][Ring2][Ring1][N][C@@H1][Branch2][Ring1][=Branch2][C@@H1][Branch1][Branch1][C][Ring1][Ring2][=O][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch2][C][=C][C][C][=C][C][Ring1][=Branch1][NH3+1][S][C][Ring2][Ring1][Ring2][C][=Branch1][C][=O][O-1],"['[1C][C][=Branch1][C][=O][C@H1][Branch1][C][NH3+1][C][=C][C][C][=C][C][Ring1][=Branch1]', '[C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][N][C][=Branch1][C][=O][C@@H1][Branch1][C][3C][C@H1][Ring1][=Branch1][S][C][Ring1][=N]', '[4C][N][4C]']",0
Cc1c(nc(nc1N)[C@H](CC(=O)N)[NH2+]C[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](c2c[nH]cn2)O[C@H]3[C@H]([C@H]([C@@H]([C@@H](O3)CO)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCc5nc(cs5)c6nc(cs6)C(=O)NCCC[S+](C)C)O,"['[3C][C@H]([6C])CC(N)=O', '[3C][C@@H]1O[C@@H]([11C])[C@@H](O)[C@H](O)[C@@H]1[3C]', 'C[S+](C)CCC[3C]', '[3C]C[C@H](N)C(N)=O', '[4C][NH2+][4C]', '[12C]c1c[nH]cn1', '[6C]CO', '[3C]CC[6C]', '[2C]O[2C]', 'C[C@@H](O)[C@H]([3C])C([1C])=O', 'Cc1c([12C])nc([12C])nc1N', '[3C][C@H]1O[C@H]([11C])[C@@H](O)[C@H]([3C])[C@@H]1O', '[1C]C([1C])=O', 'C[C@H](C([1C])=O)[C@H](O)[C@@H](C)[3C]', '[4C]N[4C]', '[1C]C(=O)[C@@H]([3C])[C@H]([3C])[6C]', '[12C]c1csc([12C])n1', '[1C]C(N)=O']",[C][C][=C][Branch2][Ring1][=C][N][=C][Branch1][=Branch1][N][=C][Ring1][=Branch1][N][C@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][N][NH2+1][C][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][N][N][C][=Branch1][C][=O][N][C@@H1][Branch2][Branch1][N][C@H1][Branch1][Branch2][C][=C][NH1][C][=N][Ring1][Branch1][O][C@H1][C@H1][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][C@@H1][C@H1][Branch2][Ring1][=Branch1][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][C][=Branch1][C][=O][N][O][C][=Branch1][C][=O][N][C@H1][Branch1][C][C][C@H1][Branch2][Branch1][Branch2][C@H1][Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C@@H1][Branch1][C][C][O][C][=Branch1][C][=O][N][C][C][C][=N][C][=Branch1][Branch1][=C][S][Ring1][Branch1][C][=N][C][=Branch1][Branch1][=C][S][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][S+1][Branch1][C][C][C][O],"['[3C][C@H1][Branch1][C][6C][C][C][Branch1][C][N][=O]', '[3C][C@@H1][O][C@@H1][Branch1][C][11C][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][3C]', '[C][S+1][Branch1][C][C][C][C][C][3C]', '[3C][C][C@H1][Branch1][C][N][C][Branch1][C][N][=O]', '[4C][NH2+1][4C]', '[12C][C][=C][NH1][C][=N][Ring1][Branch1]', '[6C][C][O]', '[3C][C][C][6C]', '[2C][O][2C]', '[C][C@@H1][Branch1][C][O][C@H1][Branch1][C][3C][C][Branch1][C][1C][=O]', '[C][C][=C][Branch1][C][12C][N][=C][Branch1][C][12C][N][=C][Ring1][Branch2][N]', '[3C][C@H1][O][C@H1][Branch1][C][11C][C@@H1][Branch1][C][O][C@H1][Branch1][C][3C][C@@H1][Ring1][=Branch2][O]', '[1C][C][Branch1][C][1C][=O]', '[C][C@H1][Branch1][=Branch1][C][Branch1][C][1C][=O][C@H1][Branch1][C][O][C@@H1][Branch1][C][C][3C]', '[4C][N][4C]', '[1C][C][=Branch1][C][=O][C@@H1][Branch1][C][3C][C@H1][Branch1][C][3C][6C]', '[12C][C][=C][S][C][Branch1][C][12C][=N][Ring1][=Branch1]', '[1C][C][Branch1][C][N][=O]']",0
